"AnimalID","Sex","DateofCapture","DateofRecapture","TeethWidth","TeethWidth2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofincisorgrowth","CompleteCapture","CompleteRecapture"
"KR13M008","Male",2014-08-05,2015-02-11,6.625,7.09,"Kuruman 13",21,"KR13F013",23,190,0.002447368,1,1
"KR13M012","Male",2014-08-06,2015-02-11,5.965,6.515,"Kuruman 13",21,"KR13F013",23,189,0.002910053,1,1
"KR13M031","Male",2014-08-08,2015-02-11,3.025,5.235,"Kuruman 13",21,"KR13F013",23,187,0.011818182,1,1
"KR13M030","Male",2015-02-10,2015-09-20,5.355,6.305,"Kuruman 13",23,"KR13F013",22,222,0.004279279,1,1
"KR13M031","Male",2015-02-11,2015-09-20,5.235,6.06,"Kuruman 13",23,"KR13F013",22,221,0.003733032,1,1
"KR13F019","Female",2015-02-10,2015-09-22,6.09,6.395,"Kuruman 13",23,"KR13F013",22,224,0.001361607,1,1
"KR13F037","Female",2015-02-13,2015-09-22,2.84,4.485,"Kuruman 13",23,"KR13F013",22,221,0.007443439,1,1
"KR13M033","Male",2015-02-11,2015-09-22,2.865,5.02,"Kuruman 13",23,"KR13F013",22,223,0.009663677,1,1
"KR13F034","Female",2015-02-12,2015-09-22,2.88,4.7,"Kuruman 13",23,"KR13F013",22,222,0.008198198,1,1
"KR13M032","Male",2015-02-12,2015-09-23,2.77,5.015,"Kuruman 13",23,"KR13F013",22,223,0.010067265,1,1
"KR13M036","Male",2015-02-13,2015-09-23,2.74,4.665,"Kuruman 13",23,"KR13F013",22,222,0.008671171,1,1
"KR13F028","Female",2015-02-10,2015-09-23,5.185,5.625,"Kuruman 13",23,"KR13F013",22,225,0.001955556,1,1
"KR13F035","Female",2015-02-12,2015-09-24,2.82,4.97,"Kuruman 13",23,"KR13F013",22,224,0.009598214,1,1
"KR13M004","Male",2015-02-10,2015-09-24,7.5,7.48,"Kuruman 13",23,"KR13F013",22,226,-8.85e-05,1,1
